Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1ac96b95f8ca93e607b3a5fc577b8f13efd8c26ffd41d58008df4571bcd9cae5,2017-03,Humberside Police,Humberside Police,-0.376215,53.788334,On or near Parking Area,E01012875,Kingston upon Hull 003A,Investigation complete; no suspect identified
ea950495a901e5a30057e50824220da290836b4103ce4adfd64e42272a2199d5,2017-03,Humberside Police,Humberside Police,-0.327271,53.766276,On or near STONEFERRY ROAD,E01012817,Kingston upon Hull 016D,Investigation complete; no suspect identified
44b41923d0be1731a6e69eb6f179b2bfb2d6e5ad0281bfc94eed4838ed5c6837,2017-03,Humberside Police,Humberside Police,-0.096306,53.568691,On or near ARTHUR STREET,E01013219,North East Lincolnshire 003B,Investigation complete; no suspect identified
4d234c30a2f662722acad11e3eded7bb2bccb97b17154e33075e69735118440e,2017-03,Humberside Police,Humberside Police,-0.374003,53.787837,On or near Parking Area,E01012875,Kingston upon Hull 003A,Investigation complete; no suspect identified
3816e0e9b0e00aca829ce167d544dd5f256f820728324216943a486382dff7ba,2017-03,Humberside Police,Humberside Police,-0.253856,53.777140,On or near MOUNT VERNON,E01012835,Kingston upon Hull 009B,Investigation complete; no suspect identified
7b797ea4fd8a876118ea98b8ee193a5a58c70e0d8b729ec4d4a3bba04820c4da,2017-03,Humberside Police,Humberside Police,-0.355337,53.764013,On or near GRAFTON STREET,E01012872,Kingston upon Hull 015E,Investigation complete; no suspect identified
2d5de2338464ca5cbe99515b2f1819e4e4091ca41edc6505a840f582ac0744d2,2017-03,Humberside Police,Humberside Police,-0.413512,53.780303,On or near Parking Area,E01012960,East Riding of Yorkshire 025B,Investigation complete; no suspect identified
b34cd0c2f88237f8f7245baba799dbb1f99c479cdbdea388870855e2bed386c3,2017-03,Humberside Police,Humberside Police,-0.411838,53.776407,On or near KINGSWAY,E01012962,East Riding of Yorkshire 023D,Investigation complete; no suspect identified
5e41c2328e5cefca8fe66e0236c82d1bf43a6cd9145e4664dc196d164395116e,2017-03,Humberside Police,Humberside Police,-0.305830,53.775764,On or near REPTON DRIVE,E01012814,Kingston upon Hull 013C,Investigation complete; no suspect identified
b42d3b61c633a65b4ef38c21ff67f2489a94ee8ea9f07396536203c9e7bdc568,2017-03,Humberside Police,Humberside Police,-0.048683,53.571771,On or near HARRINGTON STREET,E01013201,North East Lincolnshire 005C,Investigation complete; no suspect identified
28d0ca6f7f012494de484063b91b828c1e106abdf66eddcbcaa6483990243fc5,2017-03,Humberside Police,Humberside Police,-0.332905,53.774966,On or near COPENHAGEN ROAD,E01012817,Kingston upon Hull 016D,Investigation complete; no suspect identified
63f4f9e8a72a5c60918a78e23004e421cc99b80c1fdc142e246063a906d8e5c3,2017-03,Humberside Police,Humberside Police,-0.641490,53.564610,On or near KATHLEEN AVENUE,E01013238,North Lincolnshire 015A,Investigation complete; no suspect identified
4d072d1a07466c23d9b90b69ba966e4f62a4fbaf76d54d0c3b882f87fbc8c3ba,2017-03,Humberside Police,Humberside Police,-0.413944,53.846485,On or near MIDDLETON CLOSE,E01013045,East Riding of Yorkshire 017B,Investigation complete; no suspect identified
1954b5148112b0202df59079a8ae7fd932f28bfa6884b1529e4b0bf54cb4921d,2017-03,Humberside Police,Humberside Police,-0.327362,53.751014,On or near MULGRAVE STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
6c844c467171032b9ffa52a40bb800f99de01e81933de20a3a2e2a292058316a,2017-03,Humberside Police,Humberside Police,-0.396194,53.779515,On or near STEPHENSON'S WALK,E01012959,East Riding of Yorkshire 023C,Investigation complete; no suspect identified
a0d0bdade96a353f78bb7c5b2b5a68db48a68e74aa0f8dd6dbcb2c909892358e,2017-03,Humberside Police,Humberside Police,-0.355878,53.754429,On or near DOVER STREET,E01012763,Kingston upon Hull 018C,Investigation complete; no suspect identified
1b4801e47504cb117622c699c6742cff133d1b3eccf7a9d8c31fb73509d082dc,2017-03,Humberside Police,Humberside Police,-0.357896,53.780858,On or near BEVERLEY ROAD,E01012881,Kingston upon Hull 008D,Investigation complete; no suspect identified
f9c9b8bca6f5aa4a262139d74e370180fabe784209968219df31faa0d50ff1cf,2017-03,Humberside Police,Humberside Police,-0.185674,54.085309,On or near YORK ROAD,E01012936,East Riding of Yorkshire 004A,Investigation complete; no suspect identified
a93a9949d4515510dfc10790ef724af3c4dffec18ca2f56b14d533228e1d8474,2017-03,Humberside Police,Humberside Police,-0.433492,53.753635,On or near Petrol Station,E01013115,East Riding of Yorkshire 027D,Investigation complete; no suspect identified
1884a7049ca0448db82654c9df2b7146c0cb07947f715284450332fd7caa16dd,2017-03,Humberside Police,Humberside Police,-0.011036,53.536576,On or near BROOKLYN DRIVE,E01013153,North East Lincolnshire 020A,Investigation complete; no suspect identified
dc94e57683bdd27782d57005464c071efc07dbf110b953a44d129d0d58bf720a,2017-03,Humberside Police,Humberside Police,-0.413448,53.784419,On or near Petrol Station,E01012960,East Riding of Yorkshire 025B,Investigation complete; no suspect identified
f19f3e6b715e1c8b73ddeee7f8a4fb286b810fa1d82bbc2e0e249e2cdff4593e,2017-03,Humberside Police,Humberside Police,-0.277679,53.764280,On or near Petrol Station,E01012827,Kingston upon Hull 011D,Investigation complete; no suspect identified
f9374d3e3270657d4c5516082f42647f518cd0b18db84e1ed4a0da41df303b86,2017-03,Humberside Police,Humberside Police,-0.433492,53.753635,On or near Petrol Station,E01013115,East Riding of Yorkshire 027D,Investigation complete; no suspect identified
0e80903511305c116e8a07f05b34a2c308f22739c75e70e3b4ae90b2696f2e21,2017-03,Humberside Police,Humberside Police,-0.370938,53.777997,On or near ASHBURY COURT,E01012917,Kingston upon Hull 008F,Investigation complete; no suspect identified
