Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a86d932bdd6815d694d2c90adbbe735d22d370d38b439be56096fc0b72a1ed68,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.423365,52.628902,On or near PARKER CLOSE,E01026509,Broadland 017B,Investigation complete; no suspect identified
841deaa1fd0730dc9ab9c63115f57945394c4afae4694bc5c8fd6b0db1bf244a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.555428,52.641009,On or near THE DRIVE,E01026497,Broadland 018A,Investigation complete; no suspect identified
39570c60b40153595ae954933b6ca672cc01de225b8a020956bb2be00d27527c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.713794,52.563315,On or near POTTERS FIELD,E01026617,Great Yarmouth 011A,Investigation complete; no suspect identified
23ff1e17ac6bdd05ffafeff9ea5f98646953e42a579905a168e5a058d5ca76f1,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.300319,52.629726,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
757ab7b369a50052c6ef1c808e4ebae82706499e0f0de9c3a4879f781dde9cfb,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.750167,52.420858,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
6906236accc5e6ef9c4bc547af5623c3a0a65078aa3f4846f63407c60ed107c5,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.391899,52.669985,On or near RECTORY LANE,E01026722,King's Lynn and West Norfolk 015C,Investigation complete; no suspect identified
5fd68bbf8146b8e255562e38aa4f02a1d40fd9d11abc7b6b8e15ccc029f0634f,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.942301,52.682331,On or near WELLINGTON ROAD,E01026429,Breckland 003B,Investigation complete; no suspect identified
076f78584423e47f98ad6240824d739f6203bed93b88da31e176e39974611a75,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.150239,52.928331,On or near SANDY HILL LANE,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
348ce548b15b95675cf781b2236d59d96e59ff2457d3a5fcdd2882ac347b8ae9,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.279527,52.632759,On or near WYMER STREET,E01026824,Norwich 007C,Investigation complete; no suspect identified
e16fa2867c6fa2e1d0973c6fbb0d4618c50c5fb6c12a5b7786e0fd514700ed29,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.209884,52.689132,On or near NABER FURLONG,E01026563,Broadland 006B,Investigation complete; no suspect identified
1be8058bd13073cbc3a34a57d9c83883f89baf8e534f2d066366d8fd2a388397,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.328031,52.698636,On or near HIGH ROAD,E01026696,King's Lynn and West Norfolk 015A,Investigation complete; no suspect identified
9a3a172941231d5b64b0c2a4cf5522cdab7cdbcd2429f01ef37e295b144a72bf,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
bfaa32a7867d04769e6fd5fed510d33f2d05a6ec0a115a1f3e659605d8890045,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.756716,52.427522,On or near Further/Higher Educational Building,E01026472,Breckland 016E,Investigation complete; no suspect identified
8f297e387ad89b2286ba1660b6421863e452d7bd28d8661e8bf0217d7b117034,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.735238,52.408992,On or near LONDON ROAD,E01026476,Breckland 017C,Investigation complete; no suspect identified
46c0c2d678378f864357e86b9195e37d5ce701be7a954a2faa44b621aedd5c09,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.730533,52.600494,On or near BLACKFRIARS' ROAD,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
d321305da961eea81a26dd651178ef5af6fe03872e96bf3b532d8183e2ab5468,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.297158,52.629958,On or near BANK PLAIN,E01026822,Norwich 007A,Investigation complete; no suspect identified
120ddc9b913dd7e5af12d8c82d1cac7b928332c0d403c12fdb7b6867b3002515,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.228857,52.817095,On or near Park/Open Space,E01026502,Broadland 001D,Investigation complete; no suspect identified
a53041333d2d6193fc9c41bbc238f32003cda57f31f3950dfc45f771f19af617,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.293246,52.626082,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
c68ef474cd3b01ba4f20e8fa95e4ccb2b5b1f70a5cad653fb217af8108ae765e,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.375237,52.664560,On or near TAGG WAY,E01026578,Broadland 008C,Investigation complete; no suspect identified
67f0fa9469d60e3b997bfdb1b763c5e5e27d35b98f731e41cfe5f3848880f341,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.972711,52.532603,On or near GLEBE MEADOW,E01026420,Breckland 010B,Investigation complete; no suspect identified
c2b6a5e35fe0212d754c4dffc2da3aafbbbc23fdbd903808fa2a5af48d57aacc,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.941145,52.680327,On or near HIGH STREET,E01026426,Breckland 005B,Investigation complete; no suspect identified
204b73f537e91a23c3e9c71e23d3f5aa901344d0922a21286ecc1dbde10bfd19,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.451140,52.873165,On or near Park/Open Space,E01026703,King's Lynn and West Norfolk 003F,Investigation complete; no suspect identified
ad4bbf90be65867d28fc02ad6db183051f7ed12c71521bfd551cfb876f3409f1,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.724588,52.575712,On or near STRADBROKE ROAD,E01026630,Great Yarmouth 010D,Investigation complete; no suspect identified
e0bac85562bcc36112f858f00c7bf1f13604ef98b192f29c96b319e0befb6a40,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.249882,52.627263,On or near JASMINE CLOSE,E01026860,Norwich 010C,Investigation complete; no suspect identified
c88f42c7ea3cd477fea85046fd410b2b1a9ff50d46a82a5a5798013cb740b81a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.249882,52.627263,On or near JASMINE CLOSE,E01026860,Norwich 010C,Investigation complete; no suspect identified
b69b436ea147ddfd4e25eae5c8cd0ddeed5e20c6da975ea122dfee1990f6f04c,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.749413,52.416298,On or near Supermarket,E01026469,Breckland 016B,Investigation complete; no suspect identified
a0f19a18c80188a826d76df915931b73e10df6930f2d2ace5e0c9ec98336b3f2,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.217271,52.640664,On or near THE BUTTS,E01026794,Norwich 005D,Investigation complete; no suspect identified
892dfa09453f37be61e2771b6925bb180e463a21b7ad85e3ff75713cd2d69ad4,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.277804,52.622365,On or near ONLEY STREET,E01026857,Norwich 011F,Investigation complete; no suspect identified
4395c2f08be18a7e15dcff449a2ece9f51b32f30778a4d3d717e0e3db1dff441,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.110146,52.571688,On or near MIDDLETON STREET,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
cb1a288232ccfa55219f9d26366615578e7d1d86571388724beeb2de3b358a8e,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.284110,52.631777,On or near VALENTINE STREET,E01026824,Norwich 007C,Investigation complete; no suspect identified
3ca97849089355de68d5f42d2fbe27eaf1f4281c2042b4b41cc9e829ff716c34,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.697979,52.579875,On or near CHERRY CLOSE,E01026584,Great Yarmouth 008D,Investigation complete; no suspect identified
bf117d97d2b431f3acb946a5deb467efbe9a2fca1186c7e2f8b4d79c616f8200,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.371415,52.601169,On or near SOUTHFIELDS,E01026707,King's Lynn and West Norfolk 017D,Investigation complete; no suspect identified
c9f2652a0e6897e829806122e63d0743ae1de0a7e66d33091f86da1acd4c13c8,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.340474,52.647513,On or near LISHMAN ROAD,E01026809,Norwich 004G,Investigation complete; no suspect identified
3d4153de2ac5e17f42163653b484bbe5786bb1c18bcce14a7adf1f135b26f644,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.294868,52.630561,On or near ST ANDREWS STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
65db85e1593fea64796c1c6036a45dfaf87f388c43f591035cfeabd8a5abd102,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.215975,52.648982,On or near MILESTONE CLOSE,E01026925,South Norfolk 001F,Investigation complete; no suspect identified
38c5981891e677fe8fdde38a94ff996e7262a936ace6a35cc581de471b743538,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.706400,52.579054,On or near BECCLES ROAD,E01026586,Great Yarmouth 013B,Investigation complete; no suspect identified
f4c6074c17a5841847e0067442896e9d5643bb60b8cc5b6cf542d91fe42c317f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.733780,52.593349,On or near HARBORD CRESCENT,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
42b62ac23abac177097b78c3a011eadc01af20f4a3e19f72c8dafabebfb5927b,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.811906,52.571912,On or near HEYS YARD,E01026489,Breckland 009D,Investigation complete; no suspect identified
cc20df11c6ecc2f31d9ba874831c66bc4dcda23b58b77edd42294b28224fcb6a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.299626,52.609725,On or near BARRETT ROAD,E01026818,Norwich 013C,Investigation complete; no suspect identified
75b965a56bd974a71dba7b6e1f952c204b8eb050159784de1cbb8f1302128524,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.241628,52.638758,On or near Supermarket,E01026867,Norwich 006E,Investigation complete; no suspect identified
e83a41934436472cdcc7506deaf9e164c40155901bb298a78c9aef593663ab31,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.306971,52.643444,On or near MALTBY COURT,E01026844,Norwich 003D,Investigation complete; no suspect identified
1904a8964849d065eb47ebec31c7410eaa03395ec902e7d62584adba7bee67fe,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.004469,52.786607,On or near BEXFIELD CLOSE,E01026522,Broadland 002A,Investigation complete; no suspect identified
605d1449da9c82f06cd6b458ae4edd37d4cbc6afdaf99a008fe992db45758c63,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.420392,52.758856,On or near RIVER LANE,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
84dc6d1bbee4c870e5a1b5bad1551ac8e155f5cedfb31e350521e8b482fcb754,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.286416,52.653649,On or near HUNTER ROAD,E01026798,Norwich 001B,Investigation complete; no suspect identified
1df12bae0135852ec9ed0062bce0436267533202e1e6361f1b507db703c30f8a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.737143,52.627090,On or near MILTON ROAD,E01026641,Great Yarmouth 004D,Investigation complete; no suspect identified
e47fc9ec359298ca3082e626861a8fe6a9f3b55ef25709f905f84338cd429759,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.395450,52.737836,On or near SYDNEY TERRACE,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
b5e00fb320072618f2545df141274a02a8321d7fe013cdbb0c4b97a985ef88f5,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.248942,52.621560,On or near WYCLIFFE ROAD,E01026860,Norwich 010C,Investigation complete; no suspect identified
43bc35285e03bebc7beec5e85f49f7facdd34e70b3cd8c5ea0400e4c070f2b6c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.034762,52.717193,On or near MILL STREET,E01026461,Breckland 001C,Investigation complete; no suspect identified
9347724d7d537410170fa0b9a2de0176b84ef92257e29001801bdd5e5656d7b3,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.938442,52.678407,On or near ROLLINGPIN LANE,E01026425,Breckland 005A,Investigation complete; no suspect identified
886d92602163bd712056cc1f734599f7b8e9db25c160aee5e327163de16c3e96,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.327848,52.640341,On or near CROFTHOLME WAY,E01026804,Norwich 004B,Investigation complete; no suspect identified
76614ea61beda72b498beafc7d73b69b18b0753691e2baf76fe6d2f3b9906eff,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.247859,52.637265,On or near DARRELL PLACE,E01026867,Norwich 006E,Investigation complete; no suspect identified
1de24ba64bee24607c7a077839530e0b1e198f26aa2084f3277e621c15629e33,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.306971,52.643444,On or near MALTBY COURT,E01026844,Norwich 003D,Investigation complete; no suspect identified
32a3dd6906a87a736111af24887410d23215b6dfc49d569627176e2a68872d98,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.408158,52.525228,On or near FELTWELL ROAD,E01026652,King's Lynn and West Norfolk 019E,Investigation complete; no suspect identified
e89b45f9c33f3ed218796f5136ef4cbfc574e7a5e1a7c215f2caa856cdd7acd9,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.327925,52.633566,On or near MORSE AVENUE,E01026804,Norwich 004B,Investigation complete; no suspect identified
1c2c91818208c77a53deadf8e150d17b16e71f6e2514eb375bea7ae6740e2cb6,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.421855,52.628118,On or near LEVINE CLOSE,E01026508,Broadland 017A,Investigation complete; no suspect identified
58bb3c29d5f0f9510c5fc864f1aa3e3a5d4a64703c2424e1157e74ebfd7e7ef1,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.211434,52.677303,On or near MEER DYKE LANE,E01026721,King's Lynn and West Norfolk 013E,Investigation complete; no suspect identified
619639a320b6a12106cbdacb893ef82a70ad1c033011f1c93043df8457d06068,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.188586,52.665912,On or near BURRETTGATE ROAD,E01026685,King's Lynn and West Norfolk 013B,Investigation complete; no suspect identified
bf38bb79b537971075722474d12a1e9d3943cd9193813ca3716db022d60e5d4c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.119325,52.707658,On or near MORTON LANE,E01026524,Broadland 002C,Investigation complete; no suspect identified
65a50f6347640d871db561f10da90d1660ffe36616ed3917e8a769d6c27f384a,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.940021,52.678134,On or near COURTENAY CLOSE,E01026426,Breckland 005B,Investigation complete; no suspect identified
6585edbe844cdcef98005658fca1b65ee55a51b3af4796cc8d84ba5334ce11ed,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.951800,52.679909,On or near BATH AVENUE,E01026429,Breckland 003B,Investigation complete; no suspect identified
d3cc2c675198614bc672c0afbe6521da22a281d1d0c63853af0201a392f702d8,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.324882,52.633391,On or near NEWBEGIN CLOSE,E01026808,Norwich 004F,Investigation complete; no suspect identified
b94eb611ac5c6bba1961c82dc2c8fb2d7636a4bcd8366bc09ee8ce52bf4cf024,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.250366,52.632403,On or near BEVERLEY ROAD,E01026868,Norwich 006F,Investigation complete; no suspect identified
d2dd358e5b2fee43b41cb9b3476f9b49cc5f0e7325a906dde732107a6b187fc8,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.953911,52.669973,On or near HANDEL DRIVE,E01026427,Breckland 005C,Investigation complete; no suspect identified
fb6d57b0e2ee29a7b541d164550ee84ff89fc476034fe90820fee6a1f31a8309,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.733504,52.421370,On or near HEREFORD CLOSE,E01026467,Breckland 015C,Investigation complete; no suspect identified
b634f4a259de5dc710158f41141a765b919b48dd2eacd8de209de85a62b70c33,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.432539,52.583564,On or near HILGAY ROAD,E01026727,King's Lynn and West Norfolk 018B,Investigation complete; no suspect identified
6c222afee53def71d01cf1258b270bd2293eea2e0dbd800a59ce3a0bf0a9cbeb,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.292730,52.628858,On or near GAOL HILL,E01026822,Norwich 007A,Investigation complete; no suspect identified
299a873e967cfa3478ff3becb3d56d712dc391ab3d6af6c1d609092f690e84f5,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.493515,52.908258,On or near JOYCE LANE,E01026677,King's Lynn and West Norfolk 003B,Investigation complete; no suspect identified
31adc578763aec65d9613a95b6b2546c9c0976403269e3f04c36c4f8be561f45,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.399322,52.701717,On or near NORWICH ROAD,E01026580,Broadland 008E,Investigation complete; no suspect identified
c438d9c1c93d9c5b10487c1b0fee773d3722429c7126c4f0791460aa1433f8ff,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.429189,52.762713,On or near EDINBURGH AVENUE,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
f7472464c71cd74e77acc1244927182e6823e33959d8c9e7238a9bb63600d716,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.253956,52.729056,On or near SHORT-THORN ROAD,E01026534,Broadland 004B,Investigation complete; no suspect identified
3c40aee74ceeedf9faf436d9c25caf81d69213fc63053703c52d5e58113e834c,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.494488,52.908624,On or near HIGH STREET,E01026676,King's Lynn and West Norfolk 003A,Investigation complete; no suspect identified
d5f753a0160ddf0f455e9a3ba5af90fe153f9f113a33cf4d9b5e1434606ab20a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.274891,52.622536,On or near UNTHANK ROAD,E01026839,Norwich 009E,Investigation complete; no suspect identified
