"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",-0.0521201423432725,0.0280620551421352,-0.000660844581862108,-0.0100748251471877,0.00040334793185659,0
"15400",0.312720854059635,-0.0280620551421355,-0.000859097956419363,-0.00993276801831569,0.000524352311414344,0
"15431",-0.41696113874618,0.101963135514955,-0.00114546394189285,-0.00979071088944373,0.00069913641521846,0
"15461",0,-0.0229195126153421,-0.00157501292010631,-0.00964865376057178,0.00096131257092491,0
"15492",0.104240284686545,0.0229195126153418,-0.0157501292010392,-0.00950659663169982,0.00961312570925366,0
"15522",0,0.0250679273182459,0.0506254152890577,-0.00936453950282787,-0.0308993326368863,0
"15553",0.0521201423432725,-0.0354534762744645,-0.0135001107437479,-0.0092224823739559,0.0082398220365032,0
"15584",-0.469081281089452,0.0354534762744645,-1.11022302462516e-16,-0.00908042524508395,-3.33066907387547e-16,0
"15614",0.41696113874618,-0.100366647572204,-1.33226762955019e-15,-0.00893836811621199,3.33066907387547e-16,0
"15645",0.312720854059635,0.014729847511637,1.33226762955019e-15,-0.00879631098734003,0,0
"15675",-0.156360427029817,-0.0147298475116373,-1.33226762955019e-15,-0.00865425385846808,-6.66133814775094e-16,0
"15706",1.30300355858181,0.0362538186481941,1.33226762955019e-15,-0.00851219672959612,1.22124532708767e-15,0
"15737",-0.729681992805815,-0.0033970618124596,-1.33226762955019e-15,-0.00837013960072416,-1.11022302462516e-15,0
"15765",0.312720854059635,0.00339706181245926,1.33226762955019e-15,-0.00822808247185221,5.55111512312578e-16,0
"15796",-0.83392227749236,-0.0787281251201182,-6.66133814775094e-16,-0.00808602534298025,-5.55111512312578e-17,0
"15826",0.156360427029817,0.0359670007475993,0,-0.00794396821410829,-5.55111512312578e-16,0
"15857",-0.104240284686545,-0.0359670007475997,0.0135001107437487,-0.00780191108523634,-0.00823982203650225,0
"15887",0.260600711716362,0.0865486833579729,0.0176898002849128,-0.00765985395636438,0.0154340240190942,0
"15918",-0.0521201423432725,-0.00730734093138662,-0.0223450108862053,-0.00751779682749242,0.000522810026956644,0
"15949",-0.521201423432725,0.00730734093138662,2.22044604925031e-16,-0.00737573969862046,-8.88178419700125e-16,0
"15979",0.0521201423432725,-0.0230808840111582,-8.88178419700125e-16,-0.00723368256974851,-5.55111512312578e-17,0
"16010",0,0.00423310107419249,1.55431223447522e-15,-0.00709162544087655,3.88578058618805e-16,0
"16040",-0.20848056937309,-0.00423310107419281,-1.55431223447522e-15,-0.00694956831200459,-6.66133814775094e-16,0
"16071",0.364840996402907,-0.0172529206791808,1.55431223447522e-15,-0.00680751118313264,9.43689570931383e-16,0
"16102",-0.469081281089452,0.0128595614137827,-1.55431223447522e-15,-0.00666545405426068,-6.10622663543836e-16,0
"16130",0.521201423432725,-0.012859561413783,1.55431223447522e-15,-0.00652339692538872,2.77555756156289e-16,0
"16161",-0.260600711716362,0.0395200111112091,-1.55431223447522e-15,-0.00638133979651677,-2.77555756156289e-16,0
"16191",-0.260600711716362,-0.00690044414182148,0,-0.00623928266764481,0,0
