"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",0.260600711716362,-0.00605046367988216,0.00581087477154085,0.0138929323686076,0.000529617891597667,3.62695834675982e-19
"15400",-0.104240284686545,0.00605046367988227,0.00755413720301146,0.0139108465250662,0.000688503259079098,3.57158493688563e-19
"15431",-0.62544170811927,-0.0226356406163177,0.01007218293734,0.0139287606815247,0.000918004345434653,3.51621152701156e-19
"15461",0.521201423432725,0.00526735662827627,0.0138492515388453,0.0139466748379831,0.00126225597497776,3.46083811713733e-19
"15492",0.364840996402907,-0.00526735662827627,0.138492515388458,0.0139645889944416,0.0126225597497527,3.40546470726304e-19
"15522",-0.729681992805815,-0.0109544992486066,-0.445154513748616,0.0139825031509001,-0.0405725134813562,3.35009129738885e-19
"15553",0.41696113874618,0.0107446062525799,0.118707870332967,0.0140004173073586,0.010819336928364,3.29471788751465e-19
"15584",-0.0521201423432724,-0.0107446062525799,-8.88178419700125e-16,0.0140183314638171,0,3.23934447764046e-19
"15614",0.20848056937309,0.0323322333276934,-8.88178419700125e-16,0.0140362456202755,-2.66453525910038e-15,3.18397106776626e-19
"15645",-0.260600711716362,-0.00542151041126671,-8.88178419700125e-16,0.014054159776734,1.77635683940025e-15,3.12859765789206e-19
"15675",-0.156360427029817,0.00542151041126671,8.88178419700125e-16,0.0140720739331925,0,3.07322424801787e-19
"15706",-0.156360427029817,-0.0174145485869042,-8.88178419700125e-16,0.014089988089651,8.88178419700125e-16,3.01785083814367e-19
"15737",0.41696113874618,0.00328576388218504,2.66453525910038e-15,0.0141079022461095,-1.77635683940025e-15,2.96247742826948e-19
"15765",0.260600711716362,-0.00328576388218527,-8.88178419700125e-16,0.0141258164025679,8.88178419700125e-16,2.90710401839528e-19
"15796",-0.573321565775997,0.00885063763861349,-2.66453525910038e-15,0.0141437305590264,-8.88178419700125e-16,2.85173060852109e-19
"15826",0.469081281089452,-0.00113955493712148,0,0.0141616447154849,0,2.79635719864689e-19
"15857",-0.469081281089452,0.00113955493712126,-0.11870787033296,0.0141795588719434,-0.0108193369283596,2.74098378877269e-19
"15887",0.260600711716362,0.00317759771592219,0.415710306695434,0.0141974730284019,0.0443214009703716,2.6856103788985e-19
"15918",-0.62544170811927,-0.00272835379508229,-0.0891472830147526,0.0142153871848604,-0.0113413635568227,2.6302369690243e-19
"15949",1.04240284686545,0.00272835379508196,-8.88178419700125e-16,0.0142333013413188,0,2.57486355915011e-19
"15979",-0.521201423432725,-0.0202406111366041,8.88178419700125e-16,0.0142512154977773,-2.66453525910038e-15,2.51949014927591e-19
"16010",0.886042419835632,0.00739195177321983,-1.77635683940025e-15,0.0142691296542358,1.77635683940025e-15,2.46411673940172e-19
"16040",-1.19876327389527,-0.00739195177322005,0,0.0142870438106943,-1.77635683940025e-15,2.40874332952752e-19
"16071",1.30300355858181,0.0295402333309996,1.77635683940025e-15,0.0143049579671528,2.66453525910038e-15,2.35336991965332e-19
"16102",-0.469081281089452,-0.00737816489227983,-8.88178419700125e-16,0.0143228721236112,-4.44089209850063e-15,2.29799650977913e-19
"16130",-1.04240284686545,0.00737816489227983,-8.88178419700125e-16,0.0143407862800697,5.32907051820075e-15,2.24262309990493e-19
"16161",0.62544170811927,0.0225023087253983,1.77635683940025e-15,0.0143587004365282,-3.5527136788005e-15,2.18724969003074e-19
"16191",0,-0.018629319254979,-5.32907051820075e-15,0.0143766145929867,0,2.13187628015654e-19
"16222",0.156360427029817,0.0186293192549786,0.0891472830147615,0.0143945287494452,0.011341363556828,2.07650287028234e-19
"16252",0.0521201423432724,-0.00896488611248947,0.0642419062978341,0.0144124429059037,-0.00692627217487995,2.02112946040815e-19
"16283",-0.104240284686545,-0.014146876198734,-0.121268236163667,0.0144303570623621,-0.00787822746938627,1.96575605053395e-19
"16314",0.312720854059635,0.014146876198734,-7.105427357601e-15,0.0144482712188206,1.77635683940025e-15,1.91038264065976e-19
"16344",0.260600711716362,0.00567108551391227,3.5527136788005e-15,0.0144661853752791,-2.66453525910038e-15,1.85500923078556e-19
"16375",-0.521201423432725,-0.0169824189556901,-1.77635683940025e-15,0.0144840995317376,1.77635683940025e-15,1.79963582091137e-19
"16405",0.156360427029817,0.0169824189556898,-1.77635683940025e-15,0.0145020136881961,-8.88178419700125e-16,1.74426241103717e-19
"16436",-0.312720854059635,-0.0430077268309594,5.32907051820075e-15,0.0145199278446545,0,1.68888900116297e-19
"16467",0.781802135149087,0.00452144445978958,-5.32907051820075e-15,0.014537842001113,-8.88178419700125e-16,1.63351559128878e-19
"16495",-0.781802135149087,-0.00452144445978958,3.5527136788005e-15,0.0145557561575715,2.66453525910038e-15,1.57814218141458e-19
"16526",-0.20848056937309,0.0123410991317361,-1.77635683940025e-15,0.01457367031403,-8.88178419700125e-16,1.52276877154039e-19
"16556",0.20848056937309,-0.00164910510607863,-1.77635683940025e-15,0.0145915844704885,-3.5527136788005e-15,1.46739536166619e-19
"16587",0.573321565775997,0.00164910510607863,0.121268236163678,0.014609498626947,0.00787822746938982,1.412021951792e-19
"16617",-1.19876327389527,0.0112613025244234,-0.199708534795459,0.0146274127834054,-0.0218101702444358,1.3566485419178e-19
"16648",0.677561850462542,-0.00727975636829015,-0.0214139687659411,0.0146453269398639,0.00302685765283428,1.3012751320436e-19
"16679",0.156360427029817,0.00727975636828981,-3.5527136788005e-15,0.0146632410963224,-3.5527136788005e-15,1.24590172216941e-19
"16709",-0.104240284686545,-0.0173297193657607,-1.77635683940025e-15,0.0146811552527809,-1.77635683940025e-15,1.19052831229521e-19
"16740",0.20848056937309,0.00138510331459063,5.32907051820075e-15,0.0146990694092394,4.44089209850063e-15,1.13515490242102e-19
"16770",0.364840996402907,-0.00138510331459069,-7.105427357601e-15,0.0147169835656978,-1.77635683940025e-15,1.07978149254682e-19
"16801",-0.521201423432725,0.0381167748639745,5.32907051820075e-15,0.0147348977221563,0,1.02440808267262e-19
"16832",0.0521201423432724,-0.0176732841173968,-5.32907051820075e-15,0.0147528118786148,-8.88178419700125e-16,9.69034672798428e-20
"16861",0.104240284686545,0.0176732841173968,5.32907051820075e-15,0.0147707260350733,2.66453525910038e-15,9.13661262924232e-20
"16892",0.20848056937309,-0.0332328482164618,-1.77635683940025e-15,0.0147886401915318,-3.5527136788005e-15,8.58287853050037e-20
"16922",-0.83392227749236,-0.00105686000916599,-3.5527136788005e-15,0.0148065543479902,8.88178419700125e-16,8.02914443175841e-20
"16953",0.521201423432725,0.00105686000916572,0.0214139687659518,0.0148244685044487,-0.00302685765282895,7.47541033301645e-20
