"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",-0.20848056937309,0.0279656022497038,-7.9757104707534e-05,-0.00934756257317389,0.00058797934165751,0
"15400",-0.0521201423432724,-0.0279656022497038,-0.000103684236118728,-0.00929069029069772,0.000764373144154062,0
"15431",0,-0.0801577063266984,-0.000138245648160229,-0.00923381800822155,0.00101916419220589,0
"15461",0.104240284686545,0.0680444554130537,-0.00019008776621976,-0.00917694572574537,0.0014013507642828,0
"15492",-0.104240284686545,-0.0680444554130537,-0.00190087766219416,-0.0091200734432692,0.0140135076428302,0
"15522",0.260600711716362,0.143917285702739,0.0061099639141966,-0.00906320116079302,-0.0450434174233823,0
"15553",0,-0.0039141874383159,-0.00162932371045243,-0.00900632887831684,0.0120115779795689,0
"15584",-0.41696113874618,0.00391418743831592,0,-0.00894945659584067,-3.05311331771918e-16,0
"15614",0.364840996402907,-0.0142981061807562,0,-0.00889258431336449,0,0
"15645",0.0521201423432725,0.00323486565206219,7.7715611723761e-16,-0.00883571203088832,3.05311331771918e-16,0
"15675",-0.364840996402907,-0.00323486565206219,-1.55431223447522e-15,-0.00877883974841214,-6.10622663543836e-16,0
"15706",0.104240284686545,0.0211634615407928,1.55431223447522e-15,-0.00872196746593596,6.2450045135165e-16,0
"15737",0.0521201423432724,-0.00734686511833438,-1.55431223447522e-15,-0.00866509518345979,-3.33066907387547e-16,0
"15765",-0.104240284686545,0.00734686511833407,1.55431223447522e-15,-0.00860822290098361,3.05311331771918e-16,0
"15796",0.104240284686545,-0.035278438373528,-1.55431223447522e-15,-0.00855135061850744,-2.77555756156289e-16,0
"15826",-0.0521201423432724,0.0102923540684298,7.7715611723761e-16,-0.00849447833603126,-3.05311331771918e-16,0
"15857",1.40724384326836,-0.0102923540684301,0.00162932371045255,-0.00843760605355509,-0.012011577979568,0
"15887",-1.45936398561163,0.0308329937858299,-0.00465521060129326,-0.00838073377107891,0.0302367876036987,0
"15918",0.0521201423432725,-0.00512414282448487,0.000698281590194916,-0.00832386148860273,-0.00310681582228056,0
"15949",0,0.00512414282448451,0,-0.00826698920612656,-3.05311331771918e-16,0
"15979",0.156360427029817,0.000952149235812938,-1.55431223447522e-15,-0.00821011692365038,-2.77555756156289e-16,0
"16010",0.104240284686545,-0.00560021744239164,1.55431223447522e-15,-0.00815324464117421,5.82867087928207e-16,0
"16040",-0.260600711716362,0.00560021744239128,-7.7715611723761e-16,-0.00809637235869803,-6.10622663543836e-16,0
"16071",0.104240284686545,0.0131422170645046,7.7715611723761e-16,-0.00803950007622186,6.10622663543836e-16,0
"16102",0,-0.0121713259746429,-6.66133814775094e-16,-0.00798262779374568,-3.05311331771918e-16,0
"16130",0.156360427029817,0.0121713259746426,-1.11022302462516e-16,-0.0079257555112695,0,0
"16161",-0.364840996402907,0.00708574102450969,0,-0.00786888322879333,2.77555756156289e-17,0
"16191",0,-0.0157141964868979,0,-0.00781201094631715,-3.33066907387547e-16,0
"16222",0,0.0157141964868976,-0.000698281590193361,-0.00775513866384098,0.00310681582228117,0
"16252",0.104240284686545,-0.0438448856376403,0.00512073166142157,-0.0076982663813648,-0.000919729440722078,0
"16283",0.0521201423432724,0.00620824633192203,-0.0018620842405167,-0.00764139409888863,-0.00264695110191954,0
"16314",0,-0.00620824633192203,-6.66133814775094e-16,-0.00758452181641245,-2.77555756156289e-16,0
"16344",-0.104240284686545,0.0507119104988988,6.66133814775094e-16,-0.00752764953393628,-2.77555756156289e-17,0
"16375",0.156360427029817,-0.0191477089175272,0,-0.0074707772514601,0,0
"16405",0.104240284686545,0.0191477089175272,-6.66133814775094e-16,-0.00741390496898393,-2.77555756156289e-16,0
"16436",-0.104240284686545,-0.058157119628297,1.4432899320127e-15,-0.00735703268650775,5.82867087928207e-16,0
"16467",-0.20848056937309,0.00993085089662094,-2.33146835171283e-15,-0.00730016040403157,-5.82867087928207e-16,0
"16495",0.364840996402907,-0.00993085089662127,1.66533453693773e-15,-0.0072432881215554,5.82867087928207e-16,0
"16526",-0.260600711716362,0.0394635360568138,-1.11022302462516e-16,-0.00718641583907922,-3.05311331771918e-16,0
"16556",0.0521201423432724,-0.00980091713178562,-1.4432899320127e-15,-0.00712954355660305,-2.77555756156289e-16,0
"16587",0.104240284686545,0.00980091713178529,0.00186208424051881,-0.00707267127412687,0.00264695110192009,0
"16617",-0.104240284686545,-0.0526443694399865,-0.00046552106012987,-0.0070157989916507,-0.00884665933738812,0
"16648",0.156360427029817,0.0165212675882081,-0.00162932371045166,-0.00695892670917452,0.00177637856677457,0
"16679",-0.156360427029817,-0.0165212675882081,-7.7715611723761e-16,-0.00690205442669834,-3.33066907387547e-16,0
"16709",0.104240284686545,0.055748488496051,-7.7715611723761e-16,-0.00684518214422217,-2.77555756156289e-16,0
"16740",-0.156360427029817,-0.0113529766598172,1.55431223447522e-15,-0.00678830986174599,5.82867087928207e-16,0
"16770",0.0521201423432724,0.0113529766598169,-1.55431223447522e-15,-0.00673143757926982,-2.77555756156289e-16,0
"16801",0.156360427029817,-0.0519876042619163,8.88178419700125e-16,-0.00667456529679364,2.77555756156289e-16,0
"16832",-0.104240284686545,0.0146408254711411,-1.11022302462516e-16,-0.00661769301431746,-5.82867087928207e-16,0
"16861",0.156360427029817,-0.0146408254711414,0,-0.00656082073184129,5.82867087928207e-16,0
"16892",-0.0521201423432725,0.0298766211611843,6.66133814775094e-16,-0.00650394844936511,-2.77555756156289e-16,0
"16922",-0.104240284686545,-0.000297485109451247,-1.33226762955019e-15,-0.00644707616688894,-3.05311331771918e-16,0
"16953",0,0.000297485109451247,0.0016293237104531,-0.00639020388441276,-0.00177637856677368,0
"16983",0.20848056937309,0.0668392187998088,0.00325864742090487,-0.00633333160193659,-0.000112844137827639,0
"17014",-0.156360427029817,-0.0337170945093563,-0.00325864742090409,-0.00627645931946041,0.00183280063568805,0
"17045",-0.156360427029817,0.033717094509356,-7.7715611723761e-16,-0.00621958703698423,0,0
"17075",0.469081281089452,0.0127316745134204,-7.7715611723761e-16,-0.00616271475450806,-2.77555756156289e-16,0
"17106",-0.260600711716362,-0.0400829317660648,7.7715611723761e-16,-0.00610584247203188,5.82867087928207e-16,0
"17136",0.20848056937309,0.0400829317660648,1.11022302462516e-16,-0.00604897018955571,-8.88178419700125e-16,0
"17167",-0.364840996402907,-0.0506142824024207,5.55111512312578e-16,-0.00599209790707953,6.10622663543836e-16,0
"17198",-0.104240284686545,-0.0147757905648551,-1.33226762955019e-15,-0.00593522562460336,-3.33066907387547e-16,0
"17226",0.0521201423432725,0.0147757905648551,1.4432899320127e-15,-0.00587835334212718,6.10622663543836e-16,0
"17257",0.20848056937309,-0.0209974072628865,-7.7715611723761e-16,-0.00582148105965101,-5.82867087928207e-16,0
"17287",0.0521201423432725,-0.00427708693341156,-7.7715611723761e-16,-0.00576460877717483,0,0
"17318",0,0.00427708693341122,0.00325864742090565,-0.00570773649469866,-0.0018328006356875,0
"17348",0.260600711716362,-0.00922189229351045,-0.00837937908232711,-0.00565086421222248,0.00772832907326187,0
"17379",-0.41696113874618,0.000333859213343668,0.000931042120259851,-0.0055939919297463,-0.00203136390094313,0
"17410",0.312720854059635,-0.000333859213343723,-8.88178419700125e-16,-0.00553711964727013,0,0
"17440",0.312720854059635,-0.0511455440126832,-6.66133814775094e-16,-0.00548024736479395,0,0
"17471",-0.469081281089452,0.025906631219685,1.55431223447522e-15,-0.00542337508231778,0,0
"17501",-0.260600711716362,-0.0259066312196853,-2.33146835171283e-15,-0.0053665027998416,0,0
"17532",0.20848056937309,0.0368165211275373,1.55431223447522e-15,-0.00530963051736542,-2.77555756156289e-17,0
"17563",-0.364840996402907,0.00749837065591635,0,-0.00525275823488925,2.77555756156289e-17,0
"17591",0.41696113874618,-0.00749837065591669,-1.11022302462516e-16,-0.00519588595241307,0,0
"17622",-0.260600711716362,0.00607045304045978,-6.66133814775094e-16,-0.0051390136699369,0,0
"17652",0.781802135149087,0.00446314413568716,7.7715611723761e-16,-0.00508214138746072,0,0
"17683",-0.469081281089452,-0.00446314413568749,-0.000931042120259074,-0.00502526910498455,0.00203136390094316,0
"17713",0.573321565775997,0.060513984719483,-0.00651729484180907,-0.00496839682250837,-0.0131330252721334,0
"17744",-0.469081281089452,-0.0257938482240547,0.0041896895411625,-0.0049115245400322,0.00453514873512356,0
"17775",0.104240284686545,0.0257938482240543,7.7715611723761e-16,-0.00485465225755602,3.05311331771918e-16,0
"17805",0.781802135149087,-0.0469911680231477,-1.11022302462516e-16,-0.00479777997507985,-6.10622663543836e-16,0
"17836",-1.04240284686545,-0.00229826421248036,-6.66133814775094e-16,-0.00474090769260367,6.10622663543836e-16,0
"17866",0,0.00229826421248003,7.7715611723761e-16,-0.00468403541012749,-5.82867087928207e-16,0
"17897",-0.312720854059635,0.0210674798033079,0,-0.00462716312765132,5.55111512312578e-16,0
"17928",0.20848056937309,-0.0128320041141337,-7.7715611723761e-16,-0.00457029084517514,-2.4980018054066e-16,0
"17956",0,0.0128320041141333,1.4432899320127e-15,-0.00451341856269897,-2.77555756156289e-17,0
"17987",-0.0521201423432724,-0.0440679094709135,-1.4432899320127e-15,-0.00445654628022279,0,0
"18017",0.260600711716362,0.00920195062132262,0,-0.00439967399774662,-3.05311331771918e-16,0
"18048",-0.104240284686545,-0.00920195062132295,-0.0041896895411625,-0.00434280171527044,-0.00453514873512295,0
"18078",-0.156360427029817,-0.0563788503836782,-0.00325864742090565,-0.00428592943279426,0.0159306765429483,0
"18109",0.0521201423432724,0.0373913758131623,0.00581901325161649,-0.00422905715031809,-0.00343018953635058,0
"18140",0.41696113874618,-0.0373913758131623,0,-0.00417218486784191,0,0
"18170",-0.20848056937309,0.109459123676148,-7.7715611723761e-16,-0.00411531258536574,0,0
"18201",-0.41696113874618,-0.017338186024912,1.4432899320127e-15,-0.00405844030288956,0,0
"18231",0.521201423432725,0.017338186024912,-1.4432899320127e-15,-0.00400156802041338,0,0
"18262",-0.260600711716362,0.117924626847702,6.66133814775094e-16,-0.00394469573793721,0,0
"18293",-0.0521201423432725,-0.0763004994487628,-5.55111512312578e-16,-0.00388782345546103,-5.82867087928207e-16,0
"18322",0.62544170811927,0.0763004994487628,1.33226762955019e-15,-0.00383095117298486,8.60422844084496e-16,0
"18353",-0.62544170811927,-0.0584642519222989,-1.55431223447522e-15,-0.00377407889050868,-2.77555756156289e-16,0
"18383",0.104240284686545,-0.0470683734876141,2.22044604925031e-16,-0.00371720660803251,-3.05311331771918e-16,0
"18414",0.469081281089452,0.0470683734876136,-0.00581901325161516,-0.00366033432555633,0.00343018953635119,0
"18444",0,-0.0447345598226006,0.0218212996935592,-0.00360346204308015,-0.0128632107613154,0
"18475",0.20848056937309,-0.0247010935763126,-0.00678884879355146,-0.00354658976060398,0.00400188779240868,0
"18506",-0.677561850462542,0.0247010935763118,-0.000678884879355968,-0.0034897174781278,0.000400188779240973,0
"18536",0.260600711716362,-0.0703724931445775,-0.000493734457712947,-0.00343284519565163,0.000291046384902766,0
"18567",-0.364840996402907,0.0104851529959766,-0.0003703008432836,-0.00337597291317545,0.000218284788677053,0
"18597",0.104240284686545,-0.0104851529959769,-0.000284846802526939,-0.00331910063069928,0.000167911375904994,0
"18628",0,-0.0698686032658962,-0.000223808201984976,-0.0032622283482231,0.000131930366782829,0
"18659",0.104240284686545,0.0454194546289243,-0.000179046561589402,-0.00320535606574692,0.00010554429342613,0
"18687",-0.260600711716362,-0.0454194546289245,-0.000145475331289724,-0.00314848378327075,8.57547384088553e-05,0
"18718",0.41696113874618,0.105680472867608,-0.000119803214003955,-0.00309161150079457,7.06215492774498e-05,0
