"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",0,0.0125351043989101,0.000375997779334947,-0.00991962911359116,-0.000383494483765956,-0.00258268233360452
"15400",0,-0.0125351043989105,0.000488797113135986,-0.00982985873564157,-0.000498542828895387,-0.00249013815869696
"15431",0,-0.00601555614114965,0.000651729484180352,-0.00974008835769199,-0.000664723771861553,-0.00239759398378943
"15461",0,0.0155428824694849,0.000896128040749122,-0.0096503179797424,-0.000913995186308025,-0.00230504980888189
"15492",0,-0.0155428824694853,0.00896128040748856,-0.00956054760179282,-0.00913995186308852,-0.00221250563397435
"15522",0,-0.0305732099938888,-0.0288041155954989,-0.00947077722384323,0.0293784167027826,-0.00211996145906681
"15553",0,0.0308294874664298,0.00768109749213386,-0.00938100684589365,-0.00783424445407482,-0.00202741728415928
"15584",0,-0.0308294874664298,-1.4432899320127e-15,-0.00929123646794406,-6.10622663543836e-16,-0.00193487310925174
"15614",0,0.0445871767945662,1.4432899320127e-15,-0.00920146608999448,0,-0.0018423289343442
"15645",0,0.00853589906914637,0,-0.00911169571204489,6.10622663543836e-16,-0.00174978475943666
"15675",0,-0.00853589906914667,-1.4432899320127e-15,-0.00902192533409531,-5.55111512312578e-16,-0.00165724058452912
"15706",0,0.046148480533466,1.4432899320127e-15,-0.00893215495614572,5.27355936696949e-16,-0.00156469640962159
"15737",0,-0.0145383411975863,-1.4432899320127e-15,-0.00884238457819614,-5.55111512312578e-16,-0.00147215223471405
"15765",0,0.014538341197586,1.4432899320127e-15,-0.00875261420024655,-2.77555756156289e-17,-0.00137960805980651
"15796",0,0.0135502992026552,-7.7715611723761e-16,-0.00866284382229697,6.10622663543836e-16,-0.00128706388489897
"15826",0,-0.0213134907989139,-6.66133814775094e-16,-0.00857307344434739,-8.88178419700125e-16,-0.00119451970999144
"15857",0,0.0213134907989136,-0.00768109749213164,-0.0084833030663978,0.00783424445407602,-0.0011019755350839
"15887",0,-0.0740576864395254,0.00558625272155078,-0.00839353268844821,-0.0184530610205987,-0.00100943136017636
"15918",0,0.015715352420849,0.00488797113135797,-0.00830376231049863,0.00139228605622471,-0.000916887185268823
"15949",0,-0.015715352420849,-1.33226762955019e-15,-0.00821399193254905,-1.19348975147204e-15,-0.000824343010361284
"15979",0,0.0457997682209943,5.55111512312578e-16,-0.00812422155459946,5.82867087928207e-16,-0.000731798835453747
"16010",0,-0.00718453168964771,8.88178419700125e-16,-0.00803445117664988,0,-0.000639254660546209
"16040",0,0.00718453168964737,-1.55431223447522e-15,-0.00794468079870029,2.77555756156289e-17,-0.000546710485638671
"16071",0,-0.0286924015185821,1.55431223447522e-15,-0.00785491042075071,-2.77555756156289e-17,-0.000454166310731134
"16102",0,0.00716166906964369,-1.55431223447522e-15,-0.00776514004280112,-5.82867087928207e-16,-0.000361622135823596
"16130",0,-0.00716166906964402,7.7715611723761e-16,-0.00767536966485154,8.88178419700125e-16,-0.000269077960916058
"16161",0,-0.0257906133389955,6.66133814775094e-16,-0.00758559928690195,-3.05311331771918e-16,-0.00017653378600852
"16191",0,0.0200569757391412,-1.4432899320127e-15,-0.00749582890895237,-3.05311331771918e-16,-8.39896111009823e-05
"16222",0,-0.0200569757391418,-0.00488797113135653,-0.00740605853100278,-0.00139228605622346,8.5545638065552e-06
"16252",0,0.0206966704211977,0.0442245007122801,-0.0073162881530532,0.0272594996615775,0.000101098738714093
"16283",0,0.00970864052854262,-0.0172242792247813,-0.00722651777510361,-0.0122374637745647,0.000193642913621631
"16314",0,-0.00970864052854328,-1.55431223447522e-15,-0.00713674739715403,-2.77555756156289e-16,0.000286187088529169
"16344",0,0.17291165612629,-5.55111512312578e-16,-0.00704697701920444,0,0.000378731263436707
"16375",0,-0.0767471875346025,1.33226762955019e-15,-0.00695720664125486,2.77555756156289e-16,0.000471275438344244
"16405",0,0.0767471875346021,-6.66133814775094e-16,-0.00686743626330528,-5.82867087928207e-16,0.000563819613251782
"16436",0,-0.131675206280803,6.66133814775094e-16,-0.00677766588535569,5.82867087928207e-16,0.00065636378815932
