"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",-0.20848056937309,0.0141147971068349,0.000216483569920017,-0.00462770564297055,-0.000418606730802962,-1.63213125604188e-19
"15400",0.156360427029817,-0.0141147971068352,0.000281428640897544,-0.00460967238121952,-0.000544188750043029,-1.60721322159852e-19
"15431",-0.260600711716362,0.00441216067332414,0.000375238187861435,-0.0045916391194685,-0.00072558500005826,-1.58229518715503e-19
"15461",0.0521201423432725,0.0119087167701727,0.000515952508309089,-0.00457360585771747,-0.000997679375079441,-1.55737715271158e-19
"15492",-0.104240284686545,-0.0119087167701731,0.0051595250830999,-0.00455557259596645,-0.0099767937507973,-1.53245911826836e-19
"15522",0.156360427029817,-0.0864179654067102,-0.0165841877671054,-0.00453753933421542,0.0320682656275617,-1.50754108382497e-19
"15553",0,0.0551176994735285,0.00442245007122889,-0.0045195060724644,-0.0085515375006826,-1.48262304938158e-19
"15584",-0.104240284686545,-0.0551176994735289,-7.35522753814166e-16,-0.00450147281071338,-6.66133814775094e-16,-1.45770501493814e-19
"15614",0.156360427029817,0.144098560728723,-6.93889390390723e-18,-0.00448343954896235,2.22044604925031e-16,-1.43278698049481e-19
"15645",-0.156360427029817,-0.0169315808908334,7.49400541621981e-16,-0.00446540628721133,2.22044604925031e-16,-1.40786894605142e-19
"15675",0.104240284686545,0.016931580890833,-1.48492329543615e-15,-0.0044473730254603,-2.22044604925031e-16,-1.38295091160803e-19
"15706",0.156360427029817,-0.10261917246007,1.47798440153224e-15,-0.00442933976370928,0,-1.35803287716464e-19
"15737",-0.20848056937309,0.0343780053392019,-1.47798440153224e-15,-0.00441130650195825,1.11022302462516e-16,-1.33311484272125e-19
"15765",0.156360427029817,-0.0343780053392022,1.47798440153224e-15,-0.00439327324020723,-1.11022302462516e-16,-1.30819680827792e-19
"15796",-0.104240284686545,0.0431017797021648,-1.47798440153224e-15,-0.0043752399784562,1.11022302462516e-16,-1.28327877383448e-19
"15826",-0.0521201423432724,0.01282711548812,7.3899220076612e-16,-0.00435720671670518,-2.22044604925031e-16,-1.25836073939109e-19
"15857",0.104240284686545,-0.0128271154881203,-0.00442245007122742,-0.00433917345495416,0.00855153750068338,-1.2334427049477e-19
"15887",-0.0521201423432725,0.0745131440714566,0.0116380265032306,-0.00432114019320313,-0.0139162127966778,-1.20852467050432e-19
"15918",-0.156360427029817,-0.024429456547609,-0.00139656318038675,-0.00430310693145211,-0.00159343110234411,-1.18360663606093e-19
