"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",0,0.0348335309712429,-0.000375997779335724,-0.00239320367128955,0.000180946367307977,0
"15400",-0.364840996402907,-0.0348335309712433,-0.000488797113135986,-0.00242012215597377,0.000235230277500692,0
"15431",0.260600711716362,0.0756879981763194,-0.000651729484180352,-0.00244704064065797,0.000313640370000284,0
"15461",0.364840996402907,-0.00301046811691641,-0.000896128040749178,-0.00247395912534217,0.000431255508751172,0
"15492",-0.312720854059635,0.00301046811691624,-0.00896128040748839,-0.00250087761002637,0.00431255508750658,0
"15522",0.62544170811927,-0.00849198068922474,0.0288041155954987,-0.00252779609471058,-0.0138617842098442,0
"15553",-0.469081281089452,0.00123552222769585,-0.00768109749213297,-0.00255471457939478,0.00369647578929197,0
"15584",0,-0.0012355222276958,-5.55111512312578e-17,-0.00258163306407898,3.33066907387547e-16,0
"15614",0.469081281089452,-0.0150686303587115,-7.21644966006352e-16,-0.00260855154876318,-9.15933995315754e-16,0
"15645",-0.364840996402907,0.00876983740705184,1.4432899320127e-15,-0.00263547003344739,6.10622663543836e-16,0
"15675",-0.573321565775997,-0.00876983740705201,-1.4432899320127e-15,-0.00266238851813159,0,0
"15706",0.469081281089452,3.78610487065112e-05,1.49880108324396e-15,-0.00268930700281579,-2.77555756156289e-17,0
"15737",0.990282704522177,0.00875090688269864,-1.49880108324396e-15,-0.0027162254875,2.77555756156289e-17,0
"15765",-1.04240284686545,-0.00875090688269875,7.21644966006352e-16,-0.0027431439721842,0,0
"15796",-0.312720854059635,-0.0346268555602131,0,-0.0027700624568684,-2.77555756156289e-17,0
"15826",0.312720854059635,0.0260643346628051,-7.21644966006352e-16,-0.0027969809415526,-5.55111512312578e-16,0
"15857",-0.312720854059635,-0.0260643346628053,0.0076810974921338,-0.00282389942623681,-0.00369647578929114,0
"15887",0.729681992805815,0.0679299771246167,-0.0116380265032328,-0.00285081791092101,-0.0079072355478499,0
"15918",-0.990282704522177,-0.00790065389950301,-0.00186208424051515,-0.00287773639560521,0.0076500935632171,0
"15949",0.62544170811927,0.0079006538995029,-7.7715611723761e-16,-0.00290465488028942,-2.91433543964104e-16,0
"15979",-0.0521201423432725,-0.0264666598431896,-1.4432899320127e-15,-0.00293157336497362,-3.05311331771918e-16,0
"16010",-0.260600711716362,0.00533267602209186,2.16493489801906e-15,-0.00295849184965782,3.05311331771918e-16,0
"16040",0.20848056937309,-0.00533267602209186,-1.38777878078145e-15,-0.00298541033434203,0,0
"16071",-0.156360427029817,0.0246140927219269,6.66133814775094e-16,-0.00301232881902623,0,0
"16102",0.156360427029817,-0.00697437033887172,-7.21644966006352e-16,-0.00303924730371043,-2.91433543964104e-16,0
"16130",0.573321565775997,0.00697437033887172,7.21644966006352e-16,-0.00306616578839463,2.91433543964104e-16,0
"16161",-0.260600711716362,0.065450389699593,-6.66133814775094e-16,-0.00309308427307884,-6.93889390390723e-18,0
"16191",-0.573321565775997,-0.0396995651886681,-5.55111512312578e-17,-0.00312000275776304,-2.84494650060196e-16,0
"16222",0.364840996402907,0.039699565188668,0.00186208424051809,-0.00314692124244725,-0.00765009356321622,0
"16252",0.0521201423432725,-0.00185647743332867,-0.00139656318038889,-0.00317383972713145,0.0173574778385045,0
"16283",-0.156360427029817,-0.0387713264720039,-0.00116380265032257,-0.00320075821181565,-0.00102864535603528,0
"16314",-0.469081281089452,0.038771326472004,7.21644966006352e-16,-0.00322767669649985,-2.94902990916057e-16,0
"16344",0.521201423432725,-0.0580419243157151,-1.49880108324396e-15,-0.00325459518118406,-3.46944695195361e-18,0
"16375",-0.260600711716362,-0.00975036431414608,1.49880108324396e-15,-0.00328151366586826,0,0
"16405",-0.469081281089452,0.00975036431414575,-1.4432899320127e-15,-0.00330843215055246,-2.94902990916057e-16,0
"16436",1.19876327389527,-0.0421874122608496,1.4432899320127e-15,-0.00333535063523666,2.94902990916057e-16,0
"16467",-0.41696113874618,0.0113433418162784,-1.4432899320127e-15,-0.00336226911992087,-2.94902990916057e-16,0
"16495",-0.573321565775997,-0.0113433418162787,6.66133814775094e-16,-0.00338918760460507,5.89805981832114e-16,0
