"","crimes","housePrices","population","femProportion","ythProportion","pubs"
"15371",-0.573321565775997,-0.0426325884707662,0.000945691384388159,-0.00343839740012601,-7.20135216243367e-05,-1.63213125604188e-19
"15400",0.469081281089452,0.0426325884707659,0.00122939879970618,-0.0034271686862275,-9.36175781111048e-05,-1.60721322159852e-19
"15431",-0.469081281089452,-0.0865208929830186,0.00163919839960591,-0.00341593997232898,-0.000124823437481603,-1.58229518715503e-19
"15461",0.312720854059635,0.000627858020743388,0.00225389779945906,-0.00340471125843047,-0.000171632226537433,-1.55737715271158e-19
"15492",-0.312720854059635,-0.000627858020743721,0.0225389779945923,-0.00339348254453196,-0.00171632226537188,-1.53245911826836e-19
"15522",0.0521201423432725,0.0222117638843326,-0.0724467149826176,-0.00338225383063344,0.00551675013869596,-1.50754108382497e-19
"15553",0.364840996402907,-0.0104780239214229,0.0193191239953652,-0.00337102511673493,-0.00147113337031823,-1.48262304938158e-19
"15584",-0.312720854059635,0.0104780239214226,-1.11022302462516e-16,-0.00335979640283642,-6.66133814775094e-16,-1.45770501493814e-19
"15614",0.260600711716362,-0.0359246534448773,-6.66133814775094e-16,-0.0033485676889379,-2.77555756156289e-16,-1.43278698049481e-19
"15645",-0.156360427029817,0.0307863634368816,7.7715611723761e-16,-0.00333733897503938,8.88178419700125e-16,-1.40786894605142e-19
"15675",-0.104240284686545,-0.015534707090577,-7.7715611723761e-16,-0.00332611026114087,-8.88178419700125e-16,-1.38295091160803e-19
"15706",0.20848056937309,0,6.66133814775094e-16,-0.00331488154724236,6.10622663543836e-16,-1.35803287716464e-19
"15737",-0.260600711716362,0.00293833628690218,1.11022302462516e-16,-0.00330365283334384,-6.10622663543836e-16,-1.33311484272125e-19
"15765",-0.20848056937309,-0.00559362182953194,-8.88178419700125e-16,-0.00329242411944533,6.10622663543836e-16,-1.30819680827792e-19
"15796",0,0.00569336351605748,8.88178419700125e-16,-0.00328119540554682,-5.55111512312578e-17,-1.28327877383448e-19
"15826",0.573321565775997,-0.0016605643588504,-7.7715611723761e-16,-0.0032699666916483,-5.55111512312578e-16,-1.25836073939109e-19
"15857",-0.260600711716362,0.0016605643588504,-0.0193191239953644,-0.00325873797774979,0.00147113337031951,-1.2334427049477e-19
"15887",-0.20848056937309,0.0165193805907942,0.0297933478482731,-0.00324750926385128,-0.0119698778767081,-1.20852467050432e-19
"15918",0.469081281089452,-0.00992025465424701,0.00442245007122888,-0.00323628054995276,0.00451380556803527,-1.18360663606093e-19
"15949",-0.312720854059635,0.0099202546542467,-6.66133814775094e-16,-0.00322505183605425,-2.77555756156289e-16,-1.15868860161754e-19
"15979",0,0.121846606129551,-1.11022302462516e-16,-0.00321382312215573,0,-1.13377056717415e-19
